MATIMATM
4.3
4.3
1.9
4.0
2.6
1.9
4.8
3.9
3.5
1.3
2.6
1.3
1.3
8.6
4.7
5.7
2.3
7.1
5.9
2.4
6.1
8.5
3.1
2.4
5.6
3.3
4.1
5.0
7.6
6.4
4.8
5.8
6.0
6.3
6.6
8.6
7.5
8.4
3.7
3.7
8.5
2.4
5.9
6.9
3.4
4.6
6.8
7.0
1.2
17.9
16.1
17.2
15.2
15.5
9.0
17.3
13.5
10.9
21.0
19.2
65.9
55.2
53.7
53.7
51.3
51.0
45.3
50.7
65.8
83.2
22.6
30.0
19.8
29.3
27.8
23.3
16.1
34.4
40.5
7.7
10.1
5.5
6.3
7.1
7.0
4.4
4.5
6.3
5.2
4.7
4.6
4.1
4.1
3.3
3.2
3.2
3.6
3.5
0.0
5.1
0.0
3.6
5.3
1.6
0.0
0.0
0.0
3.0
2.2
4.2
2.1
3.6
3.7
3.3
1.9
1.7
2.9
3.3
6.3
13.6
0.0
0.0
0.0
7.7
0.0
4.9
0.0
3.4
1.7
5.3
5.6
8.0
4.2
10.9
4.0
10.2
8.4
8.9
7.6
7.6
5.0
6.6
6.4
6.4
6.7
4.5
5.5
3.8
1.0
6.5
11.3
4.6
7.2
3.5
9.2
9.7
7.2
5.0
2.7
0.0
5.5
5.5
11.0
10.2
10.0
14.7
6.6
5.5
11.8
11.2
15.2
25.8
1.3
2.7
2.8
4.3
6.2
1.6
0.0
0.0
22.3
0.0
0.0
0.0
0.0
0.0
0.0
3.3
4.2
1.2
2.8
3.9
2.2
2.7
3.3
2.9
2.6
2.1
2.8
1.2
2.8
2.5
2.9
2.7
4.6
4.1
3.3
4.4
3.6
2.7
3.4
15.7
17.2
9.9
8.7
8.4
11.3
9.9
8.8
6.5
6.6
9.8
6.7
3.3
9.5
6.5
7.0
14.2
11.0
0.0
17.0
0.0
16.6
16.4
0.0
0.0
0.0
32.4
0.0
0.0
26.1
5.4
20.5
14.0
55.2
23.0
15.7
37.6
34.6
43.7
42.9
42.1
37.2
35.0
34.6
34.2
53.2
58.6
2.2
3.4
2.3
2.9
3.5
3.4
1.8
3.0
2.8
4.9
4.9
0.0
3.3
3.3
0.0
0.0
0.0
1.8
0.0
3.7
3.7
0.0
7.7
11.3
16.8
5.1
1.7
6.6
13.6
2.2
2.3
1.9
2.1
1.6
2.4
2.2
1.3
1.1
2.5
2.1
7.9
5.2
7.0
6.9
12.8
17.2
10.4
20.1
8.8
24.0
25.5
11.4
14.3
12.1
13.4
8.3
8.6
9.5
26.4
0.0
9.9
3.6
1.8
3.6
6.9
5.2
0.0
1.8
1.8
0.0
0.0
9.2
4.8
4.8
5.0
5.0
5.0
0.0
0.0
0.9
5.4
6.2
3.5
1.7
2.5
4.3
4.3
3.5
2.6
16.7
15.8
15.2
15.7
15.0
14.6
14.7
14.5
13.5
13.0
13.1
13.1
20.1
23.8
