Country,Year,1.0.HCount.1.90usd,1.0.HCount.2.5usd,1.0.HCount.Mid10to50,1.0.HCount.Ofcl,1.0.HCount.Poor4uds,1.0.HCount.Vul4to10,1.0.PGap.1.90usd,1.0.PGap.2.5usd,1.0.PGap.Poor4uds,1.0.PSev.1.90usd,1.0.PSev.2.5usd,1.0.PSev.Poor4uds,1.1.HCount.1.90usd,1.1.HCount.2.5usd,1.1.HCount.Mid10to50,1.1.HCount.Ofcl,1.1.HCount.Poor4uds,1.1.HCount.Vul4to10,1.1.PGap.1.90usd,1.1.PGap.2.5usd,1.1.PGap.Poor4uds,1.1.PSev.1.90usd,1.1.PSev.2.5usd,1.1.PSev.Poor4uds,1.2.HCount.1.90usd,1.2.HCount.2.5usd,1.2.HCount.Mid10to50,1.2.HCount.Ofcl,1.2.HCount.Poor4uds,1.2.HCount.Vul4to10,1.2.PGap.1.90usd,1.2.PGap.2.5usd,1.2.PGap.Poor4uds,1.2.PSev.1.90usd,1.2.PSev.2.5usd,1.2.PSev.Poor4uds,2.0.cov.Cel,2.0.cov.Ele,2.0.cov.Int,2.0.cov.Math.pl_2.all,2.0.cov.Math.pl_2.prv,2.0.cov.Math.pl_2.pub,2.0.cov.Math.pl_3.all,2.0.cov.Math.pl_3.prv,2.0.cov.Math.pl_3.pub,2.0.cov.Read.pl_2.all,2.0.cov.Read.pl_2.prv,2.0.cov.Read.pl_2.pub,2.0.cov.Read.pl_3.all,2.0.cov.Read.pl_3.prv,2.0.cov.Read.pl_3.pub,2.0.cov.San,2.0.cov.Sch,2.0.cov.Scie.pl_2.all,2.0.cov.Scie.pl_2.prv,2.0.cov.Scie.pl_2.pub,2.0.cov.Scie.pl_3.all,2.0.cov.Scie.pl_3.prv,2.0.cov.Scie.pl_3.pub,2.0.cov.Wat,2.0.hoi.Cel,2.0.hoi.Ele,2.0.hoi.Int,2.0.hoi.Math.pl_2.all,2.0.hoi.Math.pl_2.prv,2.0.hoi.Math.pl_2.pub,2.0.hoi.Math.pl_3.all,2.0.hoi.Math.pl_3.prv,2.0.hoi.Math.pl_3.pub,2.0.hoi.Read.pl_2.all,2.0.hoi.Read.pl_2.prv,2.0.hoi.Read.pl_2.pub,2.0.hoi.Read.pl_3.all,2.0.hoi.Read.pl_3.prv,2.0.hoi.Read.pl_3.pub,2.0.hoi.San,2.0.hoi.Sch,2.0.hoi.Scie.pl_2.all,2.0.hoi.Scie.pl_2.prv,2.0.hoi.Scie.pl_2.pub,2.0.hoi.Scie.pl_3.all,2.0.hoi.Scie.pl_3.prv,2.0.hoi.Scie.pl_3.pub,2.0.hoi.Wat,3.0.Atkin.0.5,3.0.Atkin.1,3.0.Atkin.2,3.0.GenEnt-1,3.0.GenEnt2,3.0.Gini,3.0.Gini_nozero,3.0.IncShr.q1,3.0.IncShr.q2,3.0.IncShr.q3,3.0.IncShr.q4,3.0.IncShr.q5,3.0.MLongDev0,3.0.Rate75-25,3.0.Rate90-10,3.0.TheilInd1,3.1.Gini,3.1.MLongDev0,3.1.TheilInd1,3.2.Gini,3.2.MLongDev0,3.2.TheilInd1,8.0.LIPI,EN.POP.SLUM.UR.ZS,SI.DST.02ND.20,SI.DST.03RD.20,SI.DST.04TH.20,SI.DST.05TH.20,SI.DST.10TH.10,SI.DST.50MD,SI.DST.FRST.10,SI.DST.FRST.20,SI.POV.DDAY,SI.POV.GAPS,SI.POV.GINI,SI.POV.LMIC,SI.POV.LMIC.GP,SI.POV.MDIM,SI.POV.MDIM.17,SI.POV.MDIM.17.XQ,SI.POV.MDIM.FE,SI.POV.MDIM.HH,SI.POV.MDIM.IT,SI.POV.MDIM.MA,SI.POV.MDIM.XQ,SI.POV.NAHC,SI.POV.UMIC,SI.POV.UMIC.GP,SI.SPR.PC40,SI.SPR.PC40.ZG,SI.SPR.PCAP,SI.SPR.PCAP.ZG
AUS,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,16.9,23.4,39.2,23.3,10.5,2.8,7.7,1.0,0.5,31.3,1.2,0.7,,,,,,,,,,1.7,1.1,,,,
AUS,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,16.6,23.1,40.2,24.3,10.7,2.7,7.5,1.0,0.6,32.5,1.3,0.8,,,,,,,,,,2.0,1.1,,,,
AUS,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,16.6,23.2,40.6,24.7,11.2,2.6,7.3,0.7,0.5,33.2,1.0,0.6,,,,,,,,,,2.0,1.0,,,,
AUS,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,16.7,22.9,40.4,24.6,10.2,2.9,7.6,0.7,0.6,32.6,1.2,0.8,,,,,,,,,,1.7,1.1,,,,
AUS,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,16.5,23.1,40.9,25.1,10.2,2.7,7.4,0.7,0.6,33.5,1.0,0.7,,,,,,,,,,1.5,1.0,,,,
AUS,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,16.5,23.1,40.9,25.1,10.5,2.7,7.4,1.0,0.8,33.5,1.2,0.9,,,,,,,,,,1.7,1.1,,,,
AUS,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,16.4,22.8,40.9,25.3,9.7,3.0,7.7,0.7,0.4,33.1,0.7,0.6,,,,,,,,,,1.2,0.7,,,,
AUS,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
