SH.STA.MMRT.NE
10.0
6.0
5.0
4.0
8.0
9.0
3.0
7.0
7.0
5.0
6.0
8.0
4.0
4.0
9.0
1.0
5.0
1.0
4.0
6.0
9.0
3.0
6.0
9.0
4.0
3.0
3.0
1.0
3.0
1.0
8.0
5.0
6.0
1.0
3.0
3.0
3.0
7.0
3.0
4.0
6.0
5.0
6.0
9.0
5.0
10.0
5.0
4.0
11.0
3.0
6.0
1.0
3.0
7.0
6.0
6.0
6.0
6.0
4.0
2.0
5.0
3.0
4.0
3.0
4.0
4.0
4.0
5.0
5.0
5.0
4.0
3.0
8.0
4.0
7.0
6.0
8.0
7.0
9.0
8.0
4.0
5.0
6.0
6.0
5.0
6.0
10.0
4.0
6.0
1.0
5.0
6.0
4.0
9.0
4.0
4.0
4.0
8.0
1.0
4.0
5.0
5.0
5.0
8.0
1.0
10.0
7.0
2.0
4.0
7.0
47.0
42.0
42.0
41.0
31.0
34.0
25.0
30.0
23.0
22.0
21.0
23.0
18.0
17.0
18.0
19.0
17.0
15.0
20.0
18.0
15.0
17.0
16.0
15.0
16.0
10.0
96.0
74.0
66.0
63.0
60.0
50.0
51.0
49.0
45.0
47.0
46.0
74.0
74.0
84.0
77.0
61.0
63.0
60.0
61.0
60.0
53.0
58.0
58.0
47.0
44.0
44.0
36.0
35.0
19.0
18.0
28.0
33.0
21.0
28.0
35.0
37.0
32.0
35.0
38.0
30.0
38.0
39.0
20.0
35.0
26.0
30.0
29.0
24.0
15.0
9.0
9.0
9.0
14.0
10.0
12.0
2.0
6.0
7.0
6.0
3.0
3.0
4.0
4.0
8.0
3.0
6.0
3.0
2.0
5.0
1.0
4.0
2.0
10.0
9.0
7.0
6.0
5.0
7.0
6.0
6.0
5.0
6.0
4.0
3.0
4.0
4.0
4.0
5.0
5.0
5.0
5.0
4.0
4.0
3.0
6.0
7.0
6.0
0.0
3.0
3.0
6.0
0.0
3.0
0.0
2.0
0.0
5.0
5.0
5.0
3.0
5.0
3.0
5.0
3.0
3.0
3.0
3.0
2.0
2.0
4.0
4.0
4.0
3.0
4.0
5.0
3.0
5.0
3.0
4.0
3.0
2.0
4.0
2.0
4.0
46.0
29.0
42.0
45.0
34.0
31.0
22.0
30.0
52.0
0.0
15.0
16.0
16.0
39.0
8.0
28.0
14.0
0.0
0.0
0.0
7.0
7.0
7.0
7.0
0.0
0.0
6.0
6.0
2.0
3.0
5.0
5.0
3.0
5.0
5.0
5.0
3.0
12.0
5.0
7.0
8.0
2.0
0.0
5.0
4.0
6.0
