,Removed_Feature,MSE_Mean,MSE_Std,R2_Mean,R2_Std
0,0,66.20123037436,29.240667557296195,0.7935742583587686,0.0413667209418989
1,1,70.10367740315759,27.914180706644842,0.778061049979236,0.03580067262570064
2,2,66.81394486317832,34.948163716349804,0.7951144590800314,0.057672755261540226
3,3,68.75161825004886,26.487199268776326,0.7803568089007854,0.04161145112174198
4,4,73.43362815603572,29.446924989943035,0.7672397238591386,0.0388120333335936
5,5,69.25876376498161,34.2313193061668,0.7856356218071268,0.05675864198998559
6,6,62.0141220338099,25.89881016133102,0.8057003542354397,0.03580596921677303
7,7,69.1237604911868,33.40549789323264,0.786595876011234,0.05148079127142133
8,8,61.903524235581884,28.174925968391268,0.8059573034059374,0.043191634835426
9,9,66.79191336760275,27.437427720030023,0.787961515690333,0.03767394826865395
