Country,Year,0,1,2,3,4,5,6,7,8,9,MATIMATM
AUS,2010,-1.7782684724224476,-1.581447912030591,0.40236547301687575,0.8272730276455339,-0.7245072245778317,0.3304323924878103,-0.14881192068432947,-0.08901402863184382,-0.5012726185519626,0.36435333271235165,4.3
AUS,2011,-1.5853060058224846,-1.6138394283512254,0.6607953790114515,0.8240052046680338,-0.9561244107264459,0.38106352884288563,0.5124668237320692,0.08806586152569507,-0.5968253481836855,0.29258953714650376,4.3
AUS,2012,-1.6639551671079722,-1.6717457342918847,0.41148871570250595,0.7224474802977721,-0.510772382760833,0.25244455134024013,0.056401493690286325,0.04132097811757279,-0.7184877463236428,0.3384219355608599,5.2
AUS,2013,-1.7448124030014647,-1.4513798987300874,0.41268706864306937,0.7577858835660842,-0.7001122616956774,0.2959979718030171,0.22251915742953726,-0.0615405578389967,-0.6199785460409396,0.198508679955555,1.9
AUS,2014,-1.831248990281031,-1.5211620292444104,0.444511811921897,0.8844695325858801,-0.646872932244094,0.20925165133761403,0.29817736095037817,-0.019150770009196516,-0.5652751925975916,0.23568653449157467,4.0
AUS,2015,-1.8617406516113002,-1.623870037963596,0.29950413672742104,0.9017945129379213,-0.50455418111268,0.14759214991759248,0.10441946504767485,-0.06908923219353702,-0.6230236572463215,0.32662877745340557,2.6
AUS,2016,-1.7814965074851732,-1.744504010380782,0.39417727067861935,0.9565812848853718,-0.5110706042218273,0.08924782131744258,0.28623229208803846,-0.0705140837244721,-0.7960635067218743,0.3878067932708408,3.9
AUS,2017,-1.8580616086747326,-1.5744588326702953,0.41213030686744706,1.0027898769432995,-0.6897632978907964,0.16877431685099065,0.2892721227561695,-0.05435685170194682,-0.6715770983946714,0.3070476423553735,1.9
AUS,2018,-1.9808392524864704,-1.6006781106418368,0.22925592849080928,0.947837753955587,-0.41683981693127814,0.10629589302053433,0.05775448182064055,-0.18704578794769644,-0.6758899199696389,0.23072638059338757,4.8
AUS,2019,-1.9943458432020365,-1.3441661490932129,0.2913699874598624,0.8367076180870275,-0.5061636609577278,0.2219714797233432,0.12548021376156063,-0.43126231724826497,-0.5145018254985578,0.1741174453548946,3.9
AUS,2020,-2.11822962797733,-0.8942924086424267,0.007259217561193521,0.49796744773760704,-0.2804826552426788,0.3582678821269729,-0.2535144165275798,-0.6675551901720347,-0.2759519633245942,-0.014351298499027028,2.0
AUS,2021,-2.065979648923224,-1.198658285341048,0.07816142581589583,0.808617013339474,-0.4226984424547771,0.23614806281117345,-0.16199795838926906,-0.45898152233581757,-0.40309035114228414,0.10846413711879486,3.5
